Event_Date,Channel,Campaign,Browser_type,Engagement_Phase,Users,Sessions,Costs,Influenced_Conversions,Attributed_Initializer_Conversions,Attributed_Holder_Conversions,Attributed_Closer_Conversions,Attributed_IHC_Conversions,Attributed_IHC_Revenue
01-04-20,Affiliates,Campaign_0419,Browser (mobile),New Customer Engagement,2,2,,2,0.05,0,0,0.018,
01-04-20,Affiliates,Campaign_0426,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Affiliates,Campaign_0473,Browser,New Customer Engagement,8,10,,6,0,0.61,0.62,0.409,
01-04-20,Affiliates,Campaign_0473,Browser,Return Customer Engagement,1,2,,2,0,0.19,0,0.063,2.771
01-04-20,Affiliates,Campaign_0473,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Affiliates,Campaign_0575,Browser (mobile),Return Customer Engagement,1,1,,2,0.11,0,0,0.037,8.202
01-04-20,Affiliates,Campaign_0639,Browser,New Customer Engagement,1,1,,1,0,0.08,0.49,0.191,12.986
01-04-20,Affiliates,Campaign_0639,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Affiliates,Campaign_0888,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Content Marketing,Campaign_0654,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Direct Traffic,Campaign_0001,Browser,New Customer Engagement,2571,2589,,785,51.77,58.47,65.18,58.475,4285.014
01-04-20,Direct Traffic,Campaign_0001,Browser,Return Customer Engagement,454,456,,1100,82.4,105.63,92.45,93.495,4749.523
01-04-20,Direct Traffic,Campaign_0001,Browser (mobile),New Customer Engagement,4342,4354,,1216,92.57,128.26,125.46,115.429,
01-04-20,Direct Traffic,Campaign_0001,Browser (mobile),Return Customer Engagement,916,922,,1845,130.43,178.5,158.87,155.932,5303.255
01-04-20,Display,Campaign_0001,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Display,Campaign_0001,Browser (mobile),New Customer Engagement,3,3,,0,,,,,
01-04-20,Display,Campaign_0965,Browser (mobile),New Customer Engagement,1,1,,1,0,0.05,0,0.016,1.683
01-04-20,Email,Campaign_0001,Browser,New Customer Engagement,32,35,,78,0,6.22,2.57,2.931,
01-04-20,Email,Campaign_0001,Browser,Return Customer Engagement,8,10,,12,0.34,1.4,1.03,0.922,102.902
01-04-20,Email,Campaign_0001,Browser (mobile),New Customer Engagement,81,106,,247,1.78,10.02,9.8,7.199,
01-04-20,Email,Campaign_0001,Browser (mobile),Return Customer Engagement,23,29,,49,0.97,6.39,3.88,3.748,258.251
01-04-20,Email,Campaign_0002,Browser,New Customer Engagement,14,15,,2,0.87,0.5,0,0.454,
01-04-20,Email,Campaign_0002,Browser,Return Customer Engagement,9,10,,12,6.33,6.2,6.5,6.341,127.908
01-04-20,Email,Campaign_0002,Browser (mobile),New Customer Engagement,25,29,,3,0,0,0.17,0.057,
01-04-20,Email,Campaign_0002,Browser (mobile),Return Customer Engagement,11,13,,16,0.67,1.27,3.5,1.815,114.029
01-04-20,Email,Campaign_0003,Browser,New Customer Engagement,44,50,,3,1,0.55,0,0.516,
01-04-20,Email,Campaign_0003,Browser,Return Customer Engagement,9,9,,10,1.47,2.08,3.18,2.241,138.919
01-04-20,Email,Campaign_0003,Browser (mobile),New Customer Engagement,85,114,,11,2.04,2.33,2,2.123,
01-04-20,Email,Campaign_0003,Browser (mobile),Return Customer Engagement,21,29,,26,3.54,6.98,6.71,5.746,503.355
01-04-20,Email,Campaign_0004,Browser,New Customer Engagement,3,3,,0,,,,,
01-04-20,Email,Campaign_0007,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Email,Campaign_0010,Browser,New Customer Engagement,6,6,,0,,,,,
01-04-20,Email,Campaign_0010,Browser,Return Customer Engagement,2,2,,3,0.74,1.13,1,0.958,61.466
01-04-20,Email,Campaign_0010,Browser (mobile),New Customer Engagement,20,25,,0,,,,,
01-04-20,Email,Campaign_0010,Browser (mobile),Return Customer Engagement,12,17,,10,0.39,2.54,0.5,1.142,51.279
01-04-20,Email,Campaign_0016,Browser (mobile),Return Customer Engagement,1,1,,1,0,0,0,0,0
01-04-20,Email,Campaign_0019,Browser,New Customer Engagement,9,9,,1,0.01,0.08,0,0.03,
01-04-20,Email,Campaign_0019,Browser,Return Customer Engagement,1,1,,3,0,0,0,0,0
01-04-20,Email,Campaign_0019,Browser (mobile),New Customer Engagement,53,62,,8,0.03,0.46,0.24,0.243,
01-04-20,Email,Campaign_0019,Browser (mobile),Return Customer Engagement,18,25,,78,0.31,2.43,0.14,0.96,37.685
01-04-20,Email,Campaign_0021,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0021,Browser (mobile),New Customer Engagement,4,4,,0,,,,,
01-04-20,Email,Campaign_0026,Browser,New Customer Engagement,12,17,,2,0,0.09,0,0.03,
01-04-20,Email,Campaign_0026,Browser,Return Customer Engagement,9,12,,13,0.92,2.44,5.04,2.798,97.687
01-04-20,Email,Campaign_0026,Browser (mobile),New Customer Engagement,28,32,,2,0,0.01,0.27,0.091,
01-04-20,Email,Campaign_0026,Browser (mobile),Return Customer Engagement,14,17,,22,8.42,5.33,4.23,5.995,282.437
01-04-20,Email,Campaign_0032,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0032,Browser (mobile),New Customer Engagement,4,6,,0,,,,,
01-04-20,Email,Campaign_0035,Browser,New Customer Engagement,5,6,,0,,,,,
01-04-20,Email,Campaign_0035,Browser (mobile),New Customer Engagement,23,31,,0,,,,,
01-04-20,Email,Campaign_0035,Browser (mobile),Return Customer Engagement,8,10,,10,0.13,1.8,0.5,0.809,55.737
01-04-20,Email,Campaign_0036,Browser,Return Customer Engagement,1,3,,10,0,0.29,0.4,0.232,6.269
01-04-20,Email,Campaign_0036,Browser (mobile),New Customer Engagement,7,7,,82,0,0.13,0,0.042,0.278
01-04-20,Email,Campaign_0036,Browser (mobile),Return Customer Engagement,2,2,,6,0,0.03,0,0.011,0.593
01-04-20,Email,Campaign_0040,Browser,New Customer Engagement,9,12,,4,0,0.05,0,0.017,
01-04-20,Email,Campaign_0040,Browser,Return Customer Engagement,4,5,,8,0.47,1.13,0.99,0.868,70.386
01-04-20,Email,Campaign_0040,Browser (mobile),New Customer Engagement,16,18,,0,,,,,
01-04-20,Email,Campaign_0040,Browser (mobile),Return Customer Engagement,9,12,,22,2.79,1.86,1.46,2.035,37.825
01-04-20,Email,Campaign_0041,Browser,New Customer Engagement,25,27,,25,0.07,3.44,4.27,2.592,
01-04-20,Email,Campaign_0041,Browser,Return Customer Engagement,1,1,,1,0,0.13,0,0.044,3.842
01-04-20,Email,Campaign_0041,Browser (mobile),New Customer Engagement,47,54,,94,2.8,7.59,11.57,7.323,
01-04-20,Email,Campaign_0041,Browser (mobile),Return Customer Engagement,13,14,,97,0.05,2.9,3.84,2.261,45.4
01-04-20,Email,Campaign_0042,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0044,Browser,New Customer Engagement,4,4,,0,,,,,
01-04-20,Email,Campaign_0044,Browser,Return Customer Engagement,2,2,,3,1.64,1.49,1,1.376,37.248
01-04-20,Email,Campaign_0044,Browser (mobile),New Customer Engagement,14,16,,2,0,0,0,0,
01-04-20,Email,Campaign_0044,Browser (mobile),Return Customer Engagement,8,8,,9,0,1.41,0.83,0.744,21.212
01-04-20,Email,Campaign_0048,Browser,New Customer Engagement,5,5,,0,,,,,
01-04-20,Email,Campaign_0048,Browser (mobile),New Customer Engagement,10,13,,4,0,0.39,1,0.463,
01-04-20,Email,Campaign_0048,Browser (mobile),Return Customer Engagement,8,9,,7,0.62,0.65,1.85,1.041,26.681
01-04-20,Email,Campaign_0049,Browser,New Customer Engagement,4,4,,1,0.16,0,0.7,0.284,
01-04-20,Email,Campaign_0049,Browser (mobile),New Customer Engagement,26,55,,16,3.01,6.2,5.2,4.803,
01-04-20,Email,Campaign_0049,Browser (mobile),Return Customer Engagement,1,1,,1,0.06,0,0,0.022,0.641
01-04-20,Email,Campaign_0051,Browser,New Customer Engagement,2,3,,0,,,,,
01-04-20,Email,Campaign_0051,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0054,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0054,Browser (mobile),Return Customer Engagement,1,2,,1,0.31,0.4,0,0.239,10.198
01-04-20,Email,Campaign_0055,Browser (mobile),New Customer Engagement,3,3,,0,,,,,
01-04-20,Email,Campaign_0056,Browser (mobile),Return Customer Engagement,1,1,,1,0.38,0.05,0,0.143,17.531
01-04-20,Email,Campaign_0058,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Email,Campaign_0058,Browser (mobile),Return Customer Engagement,4,5,,5,0.19,0.3,0,0.161,15.747
01-04-20,Email,Campaign_0060,Browser (mobile),Return Customer Engagement,2,3,,3,1,1.02,1.06,1.028,63.406
01-04-20,Email,Campaign_0061,Browser,Return Customer Engagement,1,1,,2,0,0.02,0,0.008,0.845
01-04-20,Email,Campaign_0062,Browser,New Customer Engagement,2,2,,1,0,0,0,0,0
01-04-20,Email,Campaign_0062,Browser,Return Customer Engagement,5,5,,6,1.08,1.31,2,1.462,171.136
01-04-20,Email,Campaign_0062,Browser (mobile),New Customer Engagement,10,11,,1,0.03,0.48,0,0.17,
01-04-20,Email,Campaign_0062,Browser (mobile),Return Customer Engagement,9,12,,10,3.32,1.73,3.62,2.887,102.602
01-04-20,Email,Campaign_0065,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0068,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0071,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0072,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Email,Campaign_0080,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0082,Browser (mobile),Return Customer Engagement,1,1,,1,0,0.17,0,0.056,2.662
01-04-20,Email,Campaign_0085,Browser,New Customer Engagement,3,3,,0,,,,,
01-04-20,Email,Campaign_0085,Browser,Return Customer Engagement,2,2,,2,0.03,0.19,0,0.074,2.948
01-04-20,Email,Campaign_0085,Browser (mobile),New Customer Engagement,15,16,,44,0.08,0.37,0.69,0.377,47.803
01-04-20,Email,Campaign_0085,Browser (mobile),Return Customer Engagement,5,6,,6,0,1.39,0.29,0.561,22.444
01-04-20,Email,Campaign_0086,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Email,Campaign_0086,Browser (mobile),Return Customer Engagement,1,1,,1,0,0.08,0,0.026,1.201
01-04-20,Email,Campaign_0096,Browser (mobile),New Customer Engagement,3,3,,0,,,,,
01-04-20,Email,Campaign_0096,Browser (mobile),Return Customer Engagement,1,2,,2,0,0.28,0,0.093,4.956
01-04-20,Email,Campaign_0097,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0097,Browser,Return Customer Engagement,1,1,,1,0.12,0.39,0,0.17,11.703
01-04-20,Email,Campaign_0097,Browser (mobile),Return Customer Engagement,1,1,,1,0.15,0,0,0.051,2.535
01-04-20,Email,Campaign_0105,Browser (mobile),New Customer Engagement,1,1,,1,0.64,0.33,0,0.325,38.274
01-04-20,Email,Campaign_0114,Browser,Return Customer Engagement,1,1,,5,0.25,0.34,0,0.197,17.879
01-04-20,Email,Campaign_0114,Browser (mobile),New Customer Engagement,2,2,,1,0,0,0,0,0
01-04-20,Email,Campaign_0115,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Email,Campaign_0116,Browser (mobile),New Customer Engagement,1,2,,0,,,,,
01-04-20,Email,Campaign_0119,Browser,Return Customer Engagement,1,2,,1,0,0.38,0.18,0.187,17.096
01-04-20,Email,Campaign_0119,Browser (mobile),New Customer Engagement,3,3,,0,,,,,
01-04-20,Email,Campaign_0119,Browser (mobile),Return Customer Engagement,1,1,,1,0,0,0,0,0
01-04-20,Email,Campaign_0125,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0125,Browser (mobile),Return Customer Engagement,1,2,,6,0,0.9,0,0.3,16.134
01-04-20,Email,Campaign_0127,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0153,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0160,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0160,Browser (mobile),Return Customer Engagement,1,1,,1,0,0.04,0,0.012,1.024
01-04-20,Email,Campaign_0165,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0166,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0168,Browser,New Customer Engagement,2,2,,4,0,0.05,0,0.017,
01-04-20,Email,Campaign_0168,Browser,Return Customer Engagement,1,1,,4,0,0.05,0,0.017,3
01-04-20,Email,Campaign_0184,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0188,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Email,Campaign_0190,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0190,Browser,Return Customer Engagement,1,1,,1,0.01,0.07,0,0.025,0.582
01-04-20,Email,Campaign_0190,Browser (mobile),New Customer Engagement,12,13,,1,0,0,0.2,0.067,
01-04-20,Email,Campaign_0190,Browser (mobile),Return Customer Engagement,3,3,,4,1.85,2.5,1.55,1.97,83.725
01-04-20,Email,Campaign_0194,Browser,Return Customer Engagement,1,1,,1,0.09,0.5,1,0.53,13.667
01-04-20,Email,Campaign_0195,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0197,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0197,Browser (mobile),New Customer Engagement,1,1,,1,0,0.13,0,0.042,0.278
01-04-20,Email,Campaign_0197,Browser (mobile),Return Customer Engagement,1,1,,1,0,0.01,0.1,0.037,4.488
01-04-20,Email,Campaign_0199,Browser (mobile),Return Customer Engagement,1,1,,1,0,0.05,0,0.017,0.666
01-04-20,Email,Campaign_0204,Browser (mobile),Return Customer Engagement,2,2,,2,0,0,0.53,0.177,3.963
01-04-20,Email,Campaign_0207,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0214,Browser,Return Customer Engagement,1,1,,1,0.27,0.08,0,0.118,2.041
01-04-20,Email,Campaign_0214,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0214,Browser (mobile),Return Customer Engagement,1,2,,1,0.06,0,0.99,0.352,8.545
01-04-20,Email,Campaign_0216,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0217,Browser (mobile),Return Customer Engagement,1,1,,1,0.29,0.33,0,0.208,5.361
01-04-20,Email,Campaign_0228,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0234,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0236,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0238,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0241,Browser,New Customer Engagement,1,1,,8,0,0,0,0,0
01-04-20,Email,Campaign_0241,Browser (mobile),New Customer Engagement,4,4,,0,,,,,
01-04-20,Email,Campaign_0241,Browser (mobile),Return Customer Engagement,3,4,,3,1.63,1,0,0.877,47.035
01-04-20,Email,Campaign_0248,Browser (mobile),Return Customer Engagement,1,1,,1,0,0,0,0,0
01-04-20,Email,Campaign_0250,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0257,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0257,Browser (mobile),Return Customer Engagement,2,2,,3,0,0.04,0,0.013,0.466
01-04-20,Email,Campaign_0272,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0272,Browser (mobile),Return Customer Engagement,1,1,,2,0,0.39,0,0.13,2.101
01-04-20,Email,Campaign_0274,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0276,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0287,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0287,Browser (mobile),Return Customer Engagement,1,1,,1,0.32,0.33,1,0.551,39.944
01-04-20,Email,Campaign_0364,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0371,Browser (mobile),Return Customer Engagement,1,2,,50,0,0,0,0,0
01-04-20,Email,Campaign_0373,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0373,Browser (mobile),New Customer Engagement,2,6,,0,,,,,
01-04-20,Email,Campaign_0386,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0401,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0404,Browser (mobile),New Customer Engagement,2,2,,80,0,0.08,0,0.025,2.011
01-04-20,Email,Campaign_0404,Browser (mobile),Return Customer Engagement,1,2,,2,0,0.12,0.11,0.077,5.336
01-04-20,Email,Campaign_0421,Browser,New Customer Engagement,1,1,,80,0,0.04,0.24,0.095,7.477
01-04-20,Email,Campaign_0421,Browser (mobile),New Customer Engagement,1,2,,0,,,,,
01-04-20,Email,Campaign_0443,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0443,Browser (mobile),Return Customer Engagement,2,2,,2,0,0.58,0,0.193,10.613
01-04-20,Email,Campaign_0445,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0445,Browser,Return Customer Engagement,1,1,,1,0,0,0,0,0
01-04-20,Email,Campaign_0445,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Email,Campaign_0449,Browser,New Customer Engagement,2,2,,4,0,0.05,0.33,0.127,2.552
01-04-20,Email,Campaign_0449,Browser,Return Customer Engagement,2,2,,3,0.47,0.1,1,0.524,92.9
01-04-20,Email,Campaign_0449,Browser (mobile),New Customer Engagement,7,8,,40,0,0.38,0.56,0.314,
01-04-20,Email,Campaign_0449,Browser (mobile),Return Customer Engagement,2,3,,6,0,0.07,0.41,0.161,3.242
01-04-20,Email,Campaign_0490,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0493,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0493,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0505,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0522,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0528,Browser (mobile),Return Customer Engagement,1,1,,2,0.01,0.12,0,0.042,1.113
01-04-20,Email,Campaign_0541,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Email,Campaign_0566,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0580,Browser,Return Customer Engagement,1,1,,1,1,1,1,1,74.37
01-04-20,Email,Campaign_0627,Browser,Return Customer Engagement,1,1,,3,0,0.41,0.34,0.249,24.695
01-04-20,Email,Campaign_0627,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0796,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0821,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0821,Browser,Return Customer Engagement,2,2,,2,1.64,1.5,1,1.381,267.562
01-04-20,Email,Campaign_0821,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Email,Campaign_0821,Browser (mobile),Return Customer Engagement,1,1,,1,0,0.17,0,0.057,1.289
01-04-20,Email,Campaign_0850,Browser,New Customer Engagement,8,9,,2,0.02,0.38,0,0.132,
01-04-20,Email,Campaign_0850,Browser,Return Customer Engagement,3,3,,3,1.09,1.83,1.02,1.313,86.554
01-04-20,Email,Campaign_0850,Browser (mobile),New Customer Engagement,8,13,,1,0,0,0,0,
01-04-20,Email,Campaign_0850,Browser (mobile),Return Customer Engagement,13,15,,15,2.94,2.12,1.58,2.212,80.445
01-04-20,Email,Campaign_0854,Browser (mobile),New Customer Engagement,1,2,,0,,,,,
01-04-20,Email,Campaign_0856,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0856,Browser (mobile),Return Customer Engagement,1,2,,1,0.07,0,0,0.024,1.656
01-04-20,Email,Campaign_0861,Browser (mobile),Return Customer Engagement,1,1,,2,0,0.81,0,0.269,2.443
01-04-20,Email,Campaign_0864,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Email,Campaign_0864,Browser (mobile),Return Customer Engagement,1,1,,2,0,0.05,0.27,0.106,8.359
01-04-20,Email,Campaign_0869,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0869,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0869,Browser (mobile),Return Customer Engagement,2,2,,3,0.24,0.67,2,0.967,52.768
01-04-20,Email,Campaign_0875,Browser,New Customer Engagement,4,4,,9,0,0.63,0.2,0.276,22.139
01-04-20,Email,Campaign_0875,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0875,Browser (mobile),Return Customer Engagement,2,3,,2,0,0.08,0,0.026,2.29
01-04-20,Email,Campaign_0876,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0876,Browser (mobile),New Customer Engagement,1,5,,0,,,,,
01-04-20,Email,Campaign_0876,Browser (mobile),Return Customer Engagement,1,1,,3,0,0.02,0.08,0.034,0.982
01-04-20,Email,Campaign_0886,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0886,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0891,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0896,Browser (mobile),New Customer Engagement,1,2,,0,,,,,
01-04-20,Email,Campaign_0904,Browser (mobile),New Customer Engagement,1,2,,0,,,,,
01-04-20,Email,Campaign_0925,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_0932,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Email,Campaign_1014,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Google Remarketing,Campaign_0001,Browser,New Customer Engagement,24,28,,10,0,1.05,0,0.351,
01-04-20,Google Remarketing,Campaign_0001,Browser,Return Customer Engagement,3,3,,3,0.59,0.36,0,0.316,10
01-04-20,Google Remarketing,Campaign_0001,Browser (mobile),New Customer Engagement,79,80,,28,0.48,1.4,2.39,1.422,
01-04-20,Google Remarketing,Campaign_0001,Browser (mobile),Return Customer Engagement,11,12,,26,1.88,0.9,0.34,1.043,48.417
01-04-20,Influencers,Campaign_0001,Browser,New Customer Engagement,3,3,,2,0,0.95,1.22,0.726,29.884
01-04-20,Influencers,Campaign_0001,Browser,Return Customer Engagement,1,1,,1,0,0.44,0,0.147,3.867
01-04-20,Influencers,Campaign_0001,Browser (mobile),New Customer Engagement,6,8,,1,1,0,0,0.333,
01-04-20,Influencers,Campaign_0001,Browser (mobile),Return Customer Engagement,1,1,,1,0,0.13,0.2,0.112,10.642
01-04-20,Influencers,Campaign_0028,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Influencers,Campaign_0028,Browser (mobile),New Customer Engagement,25,26,,15,1.08,1.25,0.39,0.906,
01-04-20,Influencers,Campaign_0093,Browser (mobile),New Customer Engagement,2,3,,0,,,,,
01-04-20,Influencers,Campaign_0159,Browser (mobile),New Customer Engagement,2,2,,0,,,,,
01-04-20,Influencers,Campaign_0338,Browser,New Customer Engagement,36,37,,7,1.01,1.52,1,1.175,
01-04-20,Influencers,Campaign_0338,Browser,Return Customer Engagement,3,4,,8,0.09,0.63,0,0.242,7.652
01-04-20,Influencers,Campaign_0338,Browser (mobile),New Customer Engagement,72,76,,5,2.56,1.27,0,1.277,
01-04-20,Influencers,Campaign_0338,Browser (mobile),Return Customer Engagement,2,2,,3,1.43,0.83,0,0.753,19.756
01-04-20,Influencers,Campaign_0382,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Influencers,Campaign_0423,Browser,New Customer Engagement,3,5,,1,0,0.25,0,0.084,
01-04-20,Influencers,Campaign_0423,Browser,Return Customer Engagement,1,1,,1,0,0,0.63,0.211,24.274
01-04-20,Influencers,Campaign_0423,Browser (mobile),New Customer Engagement,6,7,,6,1.05,1.91,1,1.32,87.873
01-04-20,Influencers,Campaign_0423,Browser (mobile),Return Customer Engagement,1,1,,1,0,0.15,0,0.051,5.895
01-04-20,Influencers,Campaign_0447,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Influencers,Campaign_0487,Browser (mobile),New Customer Engagement,1,1,,0,,,,,
01-04-20,Influencers,Campaign_0497,Browser,New Customer Engagement,1,1,,0,,,,,
01-04-20,Influencers,Campaign_0532,Browser,New Customer Engagement,1,1,,0,,,,,
